Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Session,Order pressed,Response type
S1,2017.08.10,79,20,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.4,150.4667,4006,4,1,FALSE,0,6,5,4,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,80,20,B,D,1,0,No Hint,Unknown,1,0,bl,0.4,150.8667,4006,4,1,FALSE,0,6,2,5,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,85,22,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.316667,164.2333,4006,4,1,FALSE,0,6,1,1,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,86,22,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.3,164.5333,4006,4,1,FALSE,0,6,5,2,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,87,22,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.3333333,164.8667,4006,4,1,FALSE,0,6,3,5,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,88,22,B,D,1,0,No Hint,Unknown,1,0,bl,0.45,165.3167,4006,4,1,FALSE,0,6,2,3,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,97,25,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.233333,184.8,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,98,25,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.3833333,185.1833,4006,4,1,FALSE,0,6,2,5,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,99,25,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.2833333,185.4667,4006,4,1,FALSE,0,6,1,2,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,100,25,B,D,1,0,No Hint,Unknown,1,0,bl,0.95,186.4167,4006,4,1,FALSE,0,6,5,1,4006.02,,40,3,2,1,Testing,,
