Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS,STD ACC,EXCLUDE,Notes
k0467,2015.04.03,81,27,D,C,1,0,No Hint,Unknown,,bl,bl,2.7,493.85,4006,4,1,FALSE,0,6,1,3,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,82,27,B,D,1,0,No Hint,Unknown,1,0,bl,1.083333,494.9333,4006,4,1,FALSE,0,6,2,1,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,83,28,B,A,1,0,No Hint,Unknown,,bl,bl,4.133333,530.25,4006,4,1,FALSE,0,6,5,0,4006.02,,40,3,2,1,TEST,BCAD,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,84,28,C,B,1,0,No Hint,Unknown,,bl,bl,3.183333,533.4333,4006,4,1,FALSE,0,6,4,5,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,85,28,A,C,1,0,No Hint,Unknown,,bl,bl,1.933333,535.3667,4006,4,1,FALSE,0,6,0,4,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,86,28,D,D,1,0,No Hint,Unknown,1,0,bl,1.2,536.5667,4006,4,1,FALSE,0,6,3,3,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,91,30,C,A,1,0,No Hint,Unknown,,bl,bl,3.383333,567.9,4006,4,1,FALSE,0,6,3,4,4006.03,,40,3,2,1,TEST,CBDA,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,92,30,B,B,1,0,No Hint,Unknown,,bl,bl,2.616667,570.5167,4006,4,1,FALSE,0,6,1,1,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,93,30,D,C,1,0,No Hint,Unknown,,bl,bl,1.483333,572,4006,4,1,FALSE,0,6,0,3,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,94,30,A,D,1,0,No Hint,Unknown,1,0,bl,1.066667,573.0667,4006,4,1,FALSE,0,6,4,0,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,95,31,C,A,1,0,No Hint,Unknown,,bl,bl,3.35,582.2167,4006,4,1,FALSE,0,6,0,3,4006.03,,40,3,2,1,TEST,CBDA,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,96,31,B,B,1,0,No Hint,Unknown,,bl,bl,1.9,584.1167,4006,4,1,FALSE,0,6,2,2,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,97,31,D,C,1,0,No Hint,Unknown,,bl,bl,2.133333,586.25,4006,4,1,FALSE,0,6,5,0,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,98,31,A,D,1,0,No Hint,Unknown,1,0,bl,2.433333,588.6833,4006,4,1,FALSE,0,6,3,5,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,99,32,C,A,1,0,No Hint,Unknown,,bl,bl,4.283333,605.1167,4006,4,1,FALSE,0,6,3,0,4006.03,,40,3,2,1,TEST,CBAD,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,100,32,B,B,1,0,No Hint,Unknown,,bl,bl,1.883333,607,4006,4,1,FALSE,0,6,2,2,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,101,32,A,C,1,0,No Hint,Unknown,,bl,bl,2.416667,609.4167,4006,4,1,FALSE,0,6,0,3,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,102,32,D,D,1,0,No Hint,Unknown,1,0,bl,0.8333333,610.25,4006,4,1,FALSE,0,6,1,1,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,103,33,C,A,1,0,No Hint,Unknown,,bl,bl,2.083333,616.6667,4006,4,1,FALSE,0,6,4,0,4006.03,,40,3,2,1,TEST,CBAD,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,104,33,B,B,1,0,No Hint,Unknown,,bl,bl,2.016667,618.6833,4006,4,1,FALSE,0,6,5,5,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,105,33,A,C,1,0,No Hint,Unknown,,bl,bl,1.666667,620.35,4006,4,1,FALSE,0,6,0,4,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,106,33,D,D,1,0,No Hint,Unknown,1,0,bl,0.7166667,621.0667,4006,4,1,FALSE,0,6,2,2,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,111,35,A,A,1,0,No Hint,Unknown,,bl,bl,2.916667,643.25,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,TEST,ADBC,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,112,35,D,B,1,0,No Hint,Unknown,,bl,bl,3.816667,647.0667,4006,4,1,FALSE,0,6,3,4,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,113,35,B,C,1,0,No Hint,Unknown,,bl,bl,2.5,649.5667,4006,4,1,FALSE,0,6,4,2,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,114,35,C,D,1,0,No Hint,Unknown,1,0,bl,0.55,650.1167,4006,4,1,FALSE,0,6,2,3,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,115,36,A,A,1,0,No Hint,Unknown,,bl,bl,1.983333,656.55,4006,4,1,FALSE,0,6,2,2,4006.01,,40,3,2,1,TEST,ADCB,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,116,36,D,B,1,0,No Hint,Unknown,,bl,bl,1.916667,658.4667,4006,4,1,FALSE,0,6,5,0,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,117,36,C,C,1,0,No Hint,Unknown,,bl,bl,3.35,661.8167,4006,4,1,FALSE,0,6,3,3,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
